l_bound_date,facility,common_name,parameter_type,day_or_night,min_value,percentile_5,percentile_25,median_value,average_value,percentile_75,percentile_95,max_value
2025-07-22,CC1,CEA1902,indoor daily light integral,Night,0.01,0.02,0.09,0.18,8.5,0.28,33.62,33.63
2025-07-22,CC1,CEA1902,indoor daily light integral,Day,0.29,0.32,5.1,14.48,15.02,23.85,31.47,33.22
2025-07-22,CC1,CEA1902,light operation,Day,100,100,100,100,100,100,100,100
2025-07-22,CC1,CEA1902,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1902,temperature,Night,20.88,20.89,20.98,21.1,21.38,21.18,23.95,27.86
2025-07-22,CC1,CEA1902,temperature,Day,22.23,26.61,29.34,29.43,29.2,29.51,30.75,31.8
2025-07-22,CC1,CEA1902,temperature target,Day,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37
2025-07-22,CC1,CEA1902,temperature target,Night,21.11,21.11,21.11,21.11,23.14,25.18,25.18,25.18
2025-07-22,CC1,CEA1902,vapor pressure deficit,Night,0.76,0.77,0.82,0.84,0.87,0.85,1.2,1.72
2025-07-22,CC1,CEA1902,vapor pressure deficit,Day,0.96,1.64,1.82,1.92,1.87,1.97,1.99,2.07
2025-07-22,CC1,CEA1902,vent required,Night,30,30.2,32.3,36.2,35.8,37.45,44.5,47.5
2025-07-22,CC1,CEA1902,vent required,Day,14.7,24,26.25,27.35,27.61,29.5,30.75,37.8
2025-07-22,CC1,CEA1905,CO2 sensor,Day,368,374,379,387,397.94,407,452,490
2025-07-22,CC1,CEA1905,CO2 sensor,Night,425,440,447,466,465.21,488,497.5,498
2025-07-22,CC1,CEA1905,heating required,Day,19.1,19.1,23.5,70.25,60.39,90.2,98.9,98.9
2025-07-22,CC1,CEA1905,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1905,humidity,Day,49.6,49.8,50.7,51.4,51.75,52.7,53.9,57.3
2025-07-22,CC1,CEA1905,humidity,Night,51.65,55.95,59.3,59.65,59.79,60.55,62.8,64.25
2025-07-22,CC1,CEA1905,humidity target,Night,50,50,50,50,50,50,50,50
2025-07-22,CC1,CEA1905,indoor PAR light,Night,0,0,0,0,149,298,298,298
2025-07-22,CC1,CEA1905,indoor PAR light,Day,596,596,597,602,602.62,607,607,650
2025-07-22,CC1,CEA1905,indoor daily light integral,Night,0,0,0,0,11.53,34.6,34.6,34.6
2025-07-22,CC1,CEA1905,indoor daily light integral,Day,0.27,1.89,8.38,17.03,17.29,25.67,32.69,34.31
2025-07-22,CC1,CEA1905,light operation,Day,100,100,100,100,100,100,100,100
